PMID,OWN,STAT,LR,IS,VI,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,SB,PMC,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,IP,COIS,AUID,DCOM,MH,CON,RN,GR,PS,FPS,TT,CN,CIN,MID,RF
33204832,NLM,In-Data-Review,20201119,2374-8265 (Electronic) 2374-8265 (Linking),16,2020 Nov 10,Small-Group Discussion Sessions on Imposter Syndrome.,11004,10.15766/mep_2374-8265.11004 [doi],"Introduction: The Accreditation Council for Graduate Medical Education requires residency programs to support residents' well-being via established policies and programs. Imposter syndrome has been linked to burnout in residents, and understanding how to combat it may help improve resiliency in residents. Methods: We held a facilitator-guided, interactive discussion session for internal medicine residents on the topic of imposter syndrome as part of a larger series of discussion sessions on resident wellness. We repeated the session to capture a different group of residents. A psychologist or chief resident led each 30- to 45-minute session with the option to include an attending physician. Residents, faculty, and a clinical psychologist developed instructions for leading this session. At the end of each session, the facilitator provided attendees with a handout with take-home points and an optional postsurvey to assess learning objectives and ask whether they felt this was an effective intervention to promote resident wellness. Results: We collected data from 21 residents who attended the small-group discussion sessions. Ninety-six percent of residents felt comfortable recognizing imposter syndrome in themselves, and 62% knew the appropriate next steps after identifying imposter syndrome. Eighty-one percent of residents felt that the imposter syndrome wellness session was an effective intervention to promote resident wellness. Discussion: Imposter syndrome has been linked to resident burnout, and discussing imposter syndrome was viewed as an effective intervention to promote resident wellness and resiliency. When creating wellness interventions, other programs should consider addressing imposter syndrome.",['(c) 2020 Baumann et al.'],"['Baumann, Natalie', 'Faulk, Carol', 'Vanderlan, Jessica', 'Chen, Justin', 'Bhayani, Rakhee K']","['Baumann N', 'Faulk C', 'Vanderlan J', 'Chen J', 'Bhayani RK']","['Resident Physician, Department of Medicine, Washington University School of Medicine in St. Louis.', 'Instructor in Medicine, Department of Medicine, Washington University School of Medicine in St. Louis.', 'Clinical Instructor, Department of Psychiatry, Washington University School of Medicine in St. Louis.', 'Chief Resident in Quality and Patient Safety, Department of Medicine, John Cochran VA Medical Center.', 'Associate Program Director, Department of Medicine, Washington University School of Medicine in St. Louis.']",['eng'],['Journal Article'],20201110,United States,MedEdPORTAL,MedEdPORTAL : the journal of teaching and learning resources,101714390,IM,PMC7666839,['NOTNLM'],"['Burnout', 'Impostor Phenomenon', 'Impostor Syndrome', 'Residency', 'Self-Regulated Learning', 'Well-Being/Mental Health', 'Wellness']",2020/11/19 06:00,2020/11/19 06:00,['2020/11/18 06:00'],"['2020/11/18 06:00 [entrez]', '2020/11/19 06:00 [pubmed]', '2020/11/19 06:00 [medline]']","['10.15766/mep_2374-8265.11004 [doi]', '11004 [pii]']",epublish,MedEdPORTAL. 2020 Nov 10;16:11004. doi: 10.15766/mep_2374-8265.11004.,,,,,,,,,,,,,,,
33171423,NLM,Publisher,20201126,1532-8511 (Electronic) 1052-3057 (Linking),30,2020 Nov 7,A Rare Case of Capgras Syndrome in Moyamoya Disease.,105432,S1052-3057(20)30850-8 [pii] 10.1016/j.jstrokecerebrovasdis.2020.105432 [doi],"Moyamoya disease is a rare cerebrovascular disorder with unknown etiology and psychiatric symptoms occasionally manifest initially. Capgras syndrome is a unique neuropsychiatric symptom that is a delusional misidentification of a familiar person replaced by an identical imposter. We report the case of a 51-year-old woman with frontal lobe ischemic stroke caused by moyamoya disease, presenting with Capgras syndrome. Dysfunction of frontal areas may be attributable to development of Capgras syndrome.",['Copyright (c) 2020 Elsevier Inc. All rights reserved.'],"['Koda, Kazuma', 'Otsuka, Yoshihisa', 'Yoneda, Yukihiro', 'Tsukamoto, Ryo', 'Kageyama, Yasufumi']","['Koda K', 'Otsuka Y', 'Yoneda Y', 'Tsukamoto R', 'Kageyama Y']","['Department of Neurology, Hyogo Prefectural Amagasaki General Medical Center, Amagasaki City, Japan.', 'Department of Neurology, Hyogo Prefectural Amagasaki General Medical Center, Amagasaki City, Japan. Electronic address: yotsuka@hp.pref.hyogo.jp.', 'Department of Neurology, Hyogo Prefectural Amagasaki General Medical Center, Amagasaki City, Japan.', 'Department of Neurology, Hyogo Prefectural Amagasaki General Medical Center, Amagasaki City, Japan.', 'Department of Neurology, Hyogo Prefectural Amagasaki General Medical Center, Amagasaki City, Japan.']",['eng'],['Case Reports'],20201107,United States,J Stroke Cerebrovasc Dis,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,9111633,IM,,['NOTNLM'],"['Capgras syndrome', 'Ischemic', 'Moyamoya diseasel', 'Stroke']",2020/11/11 06:00,2020/11/11 06:00,['2020/11/10 20:14'],"['2020/06/15 00:00 [received]', '2020/10/20 00:00 [revised]', '2020/10/25 00:00 [accepted]', '2020/11/11 06:00 [pubmed]', '2020/11/11 06:00 [medline]', '2020/11/10 20:14 [entrez]']","['S1052-3057(20)30850-8 [pii]', '10.1016/j.jstrokecerebrovasdis.2020.105432 [doi]']",aheadofprint,J Stroke Cerebrovasc Dis. 2020 Nov 7;30(1):105432. doi: 10.1016/j.jstrokecerebrovasdis.2020.105432.,1,['Declarations of Competing Interest None'],,,,,,,,,,,,,
33155297,NLM,Publisher,20201119,1365-2923 (Electronic) 0308-0110 (Linking),,2020 Nov 6,More than meets the eye: The impact of imposter syndrome on feedback receptivity.,,10.1111/medu.14412 [doi],,,"['Gottlieb, Michael']",['Gottlieb M'],"['Department of Emergency Medicine, Rush University Medical Center, Chicago, IL, USA.']",['eng'],['Journal Article'],20201106,England,Med Educ,Medical education,7605655,IM,,,,2020/11/07 06:00,2020/11/07 06:00,['2020/11/06 06:02'],"['2020/11/02 00:00 [received]', '2020/11/03 00:00 [accepted]', '2020/11/07 06:00 [pubmed]', '2020/11/07 06:00 [medline]', '2020/11/06 06:02 [entrez]']",['10.1111/medu.14412 [doi]'],aheadofprint,Med Educ. 2020 Nov 6. doi: 10.1111/medu.14412.,,,['ORCID: https://orcid.org/0000-0003-3276-8375'],,,,,,,,,,,,
33119462,NLM,In-Process,20201106,1939-4586 (Electronic) 1059-1524 (Linking),31,2020 Nov 1,A 20-year encounter with the imposter syndrome.,2509-2510,10.1091/mbc.E20-06-0376 [doi],"Both in their formative years and later careers, some scientists suffer from something more than occasional self-doubts. There is a more severe affliction that strikes many more than was once realized. Here I reflect on my encounter, in the hope that sharing it can be of some value.",,"['Pederson, Thoru']",['Pederson T'],"['Department of Biochemistry and Molecular Pharmacology, University of Massachusetts Medical School, Worcester, MA 01605, USA.']",['eng'],['Journal Article'],,United States,Mol Biol Cell,Molecular biology of the cell,9201390,IM,,,,2020/10/30 06:00,2020/10/30 06:00,['2020/10/29 17:13'],"['2020/10/29 17:13 [entrez]', '2020/10/30 06:00 [pubmed]', '2020/10/30 06:00 [medline]']",['10.1091/mbc.E20-06-0376 [doi]'],ppublish,Mol Biol Cell. 2020 Nov 1;31(23):2509-2510. doi: 10.1091/mbc.E20-06-0376.,23,,,,,,,,,,,,,,
33030535,NLM,In-Data-Review,20201009,1613-9860 (Electronic) 1613-9860 (Linking),10,2020 Oct 8,"SBM Mid-Career Leadership Institute: replacing ""fake it till you make it"" with authentic leadership.",909-911,10.1093/tbm/ibaa046 [doi],"Increasingly the organizational environments in which we work can be characterized as Volatile, Uncertain, Complex, and Ambiguous (VUCA). Equipping leaders to thrive in VUCA environments requires more than merely imparting a list of competencies that can be observed, described, and measured. Indeed, competency-based leadership training runs the risk of being insufficient, incongruous, idealized, fragmented, and unconsciously coercive. Rather than helping leaders develop the more elusive and subtle leadership qualities and attributes necessary to thrive in VUCA environments, competency-based training can leave them feeling inadequate, as if they do not ever quite measure up, and can fuel ""imposter syndrome"". The Society of Behavioral Medicine (SBM) Mid-Career Leadership Institute provided training that was far more than competency based. It was broad enough to be relevant to fellows working in a variety of contexts and provided a framework directly applicable across settings. The training was multipronged and included: a 2 day in-person workshop designed to maximize active participation; intensive mentoring by both peers and senior members of SBM; three individual one-on-one executive coaching sessions with a professional career coach; and a leadership project in which we applied the knowledge gained during our training in our diverse organizational settings. The SBM Mid-Career Leadership Institute training increased my self-awareness about important leadership concepts, the executive coaching sessions helped me become more productive, and the relationships I built have helped me develop my professional network and deepen my connection with fellow scientists and practitioners. ""Fake it till you make it"" and feelings of insecurity and self-doubt have been replaced by authentic leadership.","['(c) Society of Behavioral Medicine 2020. All rights reserved. For permissions,', 'please e-mail: journals.permissions@oup.com.']","['Winter, Sandra J']",['Winter SJ'],"['Senior Coastsiders, Half Moon Bay, CA, USA.']",['eng'],['Journal Article'],,England,Transl Behav Med,Translational behavioral medicine,101554668,IM,,['NOTNLM'],"['Mid-career leadership training', 'Scrum agile process', 'VUCA work environment']",2020/10/09 06:00,2020/10/09 06:00,['2020/10/08 12:22'],"['2020/10/08 12:22 [entrez]', '2020/10/09 06:00 [pubmed]', '2020/10/09 06:00 [medline]']","['5919525 [pii]', '10.1093/tbm/ibaa046 [doi]']",ppublish,Transl Behav Med. 2020 Oct 8;10(4):909-911. doi: 10.1093/tbm/ibaa046.,4,,,,,,,,,,,,,,
33008980,NLM,In-Process,20201016,2042-7670 (Electronic) 0042-4900 (Linking),187,2020 Oct 3,Imposter syndrome and the veterinary profession.,268-270,10.1136/vr.m3769 [doi],,,"['Hamood, Wendy']",['Hamood W'],"['School of Animal and Veterinary Sciences, University of Adelaide, Roseworthy, South Australia, Australia.']",['eng'],['Journal Article'],,England,Vet Rec,The Veterinary record,0031164,IM,,,,2020/10/04 06:00,2020/10/04 06:00,['2020/10/03 05:26'],"['2020/10/03 05:26 [entrez]', '2020/10/04 06:00 [pubmed]', '2020/10/04 06:00 [medline]']","['vr.m3769 [pii]', '10.1136/vr.m3769 [doi]']",ppublish,Vet Rec. 2020 Oct 3;187(7):268-270. doi: 10.1136/vr.m3769.,7,,,,,,,,,,,,,,
32909417,NLM,In-Process,20200916,2047-8992 (Electronic) 1351-5578 (Linking),28,2020 Sep 16,Imposter syndrome- why is it so common among nurse researchers and is it really a problem?,30-36,10.7748/nr.2020.e1750 [doi],"BACKGROUND: Imposter syndrome is common among early career nurse researchers and often has a considerable impact on those affected. It can cause various problems, including anxiety, self-doubt and feelings of inadequacy, and therefore has significant potential to adversely affect personal and professional development. AIM: To critically explore the concept of imposter syndrome among early-to-mid career nurse researchers. DISCUSSION: There may be several reasons why imposter syndrome is common among nurse researchers. Evidence suggests it is ubiquitous in other academic disciplines across the higher education sector, particularly in early-to-mid career researchers. It is unclear how or why nurse researchers are affected by this phenomenon, and whether feeling like an imposter is problematic in this context. CONCLUSION: Imposter syndrome can be deeply unsettling, particularly at times of specific exposure or peer review. It is relatively normal for even the most experienced, successful researchers to feel like this. Related feelings of self-doubt and critical self-reflection are essential in appropriate measures to research and can reduce researchers' potential for making significant mistakes. IMPLICATIONS FOR PRACTICE: When managed appropriately, imposter syndrome can be important in scholarly activity and ongoing personal and professional development. Recognising this is an important first step in mitigating related feelings of inadequacy.","['(c)2020 RCN Publishing Company Ltd. All rights reserved. Not to be copied,', 'transmitted or recorded in any way, in whole or part, without prior permission of', 'the publishers.']","['Gill, Paul']",['Gill P'],"['School of Healthcare Sciences, Cardiff University, Cardiff, Wales.']",['eng'],['Journal Article'],20200910,England,Nurse Res,Nurse researcher,9435953,N,,['NOTNLM'],"['academic careers', 'continuing professional development', 'education', 'nurse academics', ""nurses' wellbeing"", 'personal development', 'professional issues', 'reflection']",2020/09/11 06:00,2020/09/11 06:00,['2020/09/10 05:41'],"['2020/04/21 00:00 [accepted]', '2020/09/11 06:00 [pubmed]', '2020/09/11 06:00 [medline]', '2020/09/10 05:41 [entrez]']","['10.7748/nr.2020.e1750 [doi]', 'e1750 [pii]']",ppublish,Nurse Res. 2020 Sep 16;28(3):30-36. doi: 10.7748/nr.2020.e1750. Epub 2020 Sep 10.,3,['None declared'],,,,,,,,,,,,,
32848987,NLM,PubMed-not-MEDLINE,20200928,1664-1078 (Print) 1664-1078 (Linking),11,2020,Focusing on the Neuro-Psycho-Biological and Evolutionary Underpinnings of the Imposter Syndrome.,1553,10.3389/fpsyg.2020.01553 [doi],,,"['Chrousos, George P', 'Mentis, Alexios-Fotios A', 'Dardiotis, Efthimios']","['Chrousos GP', 'Mentis AA', 'Dardiotis E']","['University Research Institute of Maternal and Child Health and Precision Medicine, and UNESCO Chair on Adolescent Health Care, ""Aghia Sophia"" Children\'s Hospital, National and Kapodistrian University of Athens, Athens, Greece.', 'Public Health Laboratories, Hellenic Pasteur Institute, Athens, Greece.', 'Department of Microbiology, School of Medicine, University Hospital of Larissa, University of Thessaly, Larissa, Greece.', 'Department of Neurology, School of Medicine, University Hospital of Larissa, University of Thessaly, Larissa, Greece.']",['eng'],['Journal Article'],20200720,Switzerland,Front Psychol,Frontiers in psychology,101550902,,PMC7396514,['NOTNLM'],"['hypothalamic-pituitary-adrenal axis', 'imposter syndrome', 'nervous system', 'neurobiology', 'oxytocin', 'stress']",2020/08/28 06:00,2020/08/28 06:01,['2020/08/28 06:00'],"['2020/04/15 00:00 [received]', '2020/06/10 00:00 [accepted]', '2020/08/28 06:00 [entrez]', '2020/08/28 06:00 [pubmed]', '2020/08/28 06:01 [medline]']",['10.3389/fpsyg.2020.01553 [doi]'],epublish,Front Psychol. 2020 Jul 20;11:1553. doi: 10.3389/fpsyg.2020.01553. eCollection 2020.,,,,,,,,,,,,,,,
32744234,NLM,In-Process,20201012,2376-6980 (Electronic),22,2020 Jul 1,Imposter Syndrome.,E628-629,amajethics.2020.628 [pii] 10.1001/amajethics.2020.628 [doi],"This self-portrait, done in bold colors, depicts the experience of ""imposterhood"" in medicine.",['(c) 2020 American Medical Association. All Rights Reserved.'],"['Kimyon, Rebecca S']",['Kimyon RS'],"['Recent graduate of the University of Minnesota Medical School in Minneapolis, Minnesota.']",['eng'],['Journal Article'],20200701,United States,AMA J Ethics,AMA journal of ethics,101649265,IM,,,,2020/08/04 06:00,2020/08/04 06:00,['2020/08/04 06:00'],"['2020/08/04 06:00 [entrez]', '2020/08/04 06:00 [pubmed]', '2020/08/04 06:00 [medline]']","['amajethics.2020.628 [pii]', '10.1001/amajethics.2020.628 [doi]']",epublish,AMA J Ethics. 2020 Jul 1;22(7):E628-629. doi: 10.1001/amajethics.2020.628.,7,,,,,,,,,,,,,,
32723762,NLM,In-Data-Review,20201029,1473-4257 (Electronic) 0306-6800 (Linking),46,2020 Nov,Impact of gender bias on women surgeons: a South African perspective.,785-786,10.1136/medethics-2020-106442 [doi],"A recent article in this journal by Katrina Hutchison exposes and addresses the cumulative effects of implicit bias on women in surgery. We doubt that there is a single woman in any surgical field who has not experienced both implicit and explicit bias. Many of the issues facing women in surgery seem to be mirrored in both the developed and developing countries. There is little literature describing the exact situation in Africa. South African government institutions have made a concerted effort to improve the representation of minorities in business, education and the health sector. In the hospital setting, hiring is done by means of a quota system based on demographics within that particular sector. This has also resulted in a number of unforeseen epistemic biases. This policy-driven 'forced' hiring of female candidates also led to feelings of doubt in the candidates themselves about their merits and competence and capabilities. This epistemic bias can then filter down, feeding the already prevalent imposter syndrome and confidence issues felt by many female surgical trainees. Not only do we need to aim to change the culture in surgical departments by changing the image of the 'stereotypical surgeon', we need to extend this message out into our training institutions, communities and peoples' homes. We believe that this is the only way to change a culture steeped in implicit bias, to be more inclusive of women and other minority groups and shed the assumption that they are lesser.","['(c) Author(s) (or their employer(s)) 2020. No commercial re-use. See rights and', 'permissions. Published by BMJ.']","['Wall, Shelley Lynn', 'Troisi, Katherine']","['Wall SL', 'Troisi K']","['Pietermaritzburg Burn Service, Pietermaritzburg Metropolitan Department of Surgery, Edendale Hospital, Plessislaer, South Africa shelley_wall@hotmail.com.', 'DRILL Fellow: Developing Research, Innovation, Localization and Leadership in South Africa, University of KwaZulu-Natal Nelson R Mandela School of Medicine, Durban, KwaZulu Natal, South Africa.', 'Pietermaritzburg Metropolitan Department of Orthopaedics, Edendale Hospital, Plessislaer, KwaZulu Natal, South Africa.', 'Orthopaedics, University of KwaZulu-Natal Nelson R Mandela School of Medicine, Durban, KwaZulu Natal, South Africa.']",['eng'],['Journal Article'],20200728,England,J Med Ethics,Journal of medical ethics,7513619,E IM,,['NOTNLM'],"['surgery', 'women']",2020/07/30 06:00,2020/07/30 06:00,['2020/07/30 06:00'],"['2020/05/12 00:00 [received]', '2020/06/04 00:00 [accepted]', '2020/07/30 06:00 [pubmed]', '2020/07/30 06:00 [medline]', '2020/07/30 06:00 [entrez]']","['medethics-2020-106442 [pii]', '10.1136/medethics-2020-106442 [doi]']",ppublish,J Med Ethics. 2020 Nov;46(11):785-786. doi: 10.1136/medethics-2020-106442. Epub 2020 Jul 28.,11,['Competing interests: None declared.'],,,,,,,,,,,,,
